game_id, venue, game_period, sweater_number, shift_start_time, shift_end_time, duration
2021021189, "home", 4, 3, 3656, 3700, 44
2021021189, "home", 4, 21, 3692, 3700, 8
2021021189, "home", 4, 24, 3656, 3700, 44
2021021189, "home", 4, 41, 3600, 3700, 100
2021020326, "away", 3, 6, 3487, 3600, 113
2021020326, "away", 3, 43, 3506, 3600, 94
2021020326, "away", 3, 8, 3506, 3600, 94
2021020326, "away", 3, 53, 3506, 3600, 94
2021020326, "away", 3, 9, 3506, 3600, 94
2021020326, "away", 3, 23, 3554, 3600, 46
2020020865, "home", 4, 36, 3713, 3766, 53
2020020865, "home", 4, 49, 3713, 3766, 53
2020020865, "home", 4, 24, 3713, 3766, 53
2020020865, "home", 4, 33, 3600, 3766, 166
2020020865, "away", 4, 67, 3761, 3766, 5
2020020865, "away", 4, 42, 3722, 3766, 44
2020020865, "away", 4, 30, 3600, 3766, 166
2020020860, "home", 4, 12, 3854, 3870, 16
2020020860, "home", 4, 88, 3831, 3870, 39
2020020860, "home", 4, 5, 3827, 3870, 43
2020020860, "home", 4, 60, 3600, 3870, 270
2020020860, "away", 4, 14, 3827, 3870, 43
2020020860, "away", 4, 3, 3827, 3870, 43
2020020860, "away", 4, 21, 3827, 3870, 43
2020020860, "away", 4, 29, 3600, 3870, 270
2020020858, "home", 3, 31, 2400, 3600, 1200
2020020858, "home", 3, 58, 3464, 3600, 136
2020020858, "home", 3, 8, 3489, 3600, 111
2020020858, "home", 3, 77, 3575, 3600, 25
2020020858, "home", 3, 11, 3582, 3600, 18
2020020858, "home", 3, 12, 3582, 3600, 18
2020020858, "away", 3, 68, 3477, 3600, 153
2020020858, "away", 3, 26, 3463, 3600, 137
2020020858, "away", 3, 37, 3525, 3600, 75
2020020858, "away", 3, 23, 3537, 3600, 63
2020020858, "away", 3, 57, 3582, 3600, 18
2020020858, "away", 3, 55, 3596, 3600, 4
2020020857, "away", 1, 17, 0, 67, 67,
2020020810, "home", 3, 30, 2400, 3600, 1200
2020020810, "home", 3, 4, 3520, 3600, 80
2020020810, "home", 3, 32, 3530, 3600, 70
2020020810, "home", 3, 53, 3552, 3600, 48
2020020810, "home", 3, 46, 3552, 3600, 48
2020020810, "home", 3, 15, 3567, 3600, 33
2020020810, "away", 2, 40, 1200, 2400, 1200
2020020810, "away", 3, 40, 2400, 3600, 1200
2020020810, "away", 2, 8, 1200, 1244, 44
2020020810, "away", 3, 8, 3567, 3600, 33
2020020810, "away", 3, 22, 3548, 3600, 52
2020020810, "away", 3, 9, 3548, 3600, 52
2020020810, "away", 3, 44, 3548, 3600, 52
2020020810, "away", 3, 55, 3548, 3600, 52
2020020762, "away", 2, 47, 1200, 1246, 46
2020020748, "away", 3, 20, 3565, 3600, 35
2020020748, "away", 3, 13, 3565, 3600, 35
2020020748, "away", 3, 7, 3565, 3600, 35
2020020748, "away", 3, 17, 3565, 3600, 35
2020020748, "away", 3, 49, 3565, 3600, 35
2020020748, "away", 3, 34, 3565, 3600, 35
2020020526, "home", 4, 8, 3600, 3627, 27
2020020526, "home", 4, 14, 3600, 3627, 27
2020020526, "home", 4, 22, 3600, 3627, 27
2020020526, "home", 4, 30, 3600, 3627, 27
2020020526, "away", 4, 22, 3600, 3627, 27
2020020526, "away", 4, 29, 3600, 3627, 27
2020020526, "away", 4, 21, 3600, 3627, 27
2020020526, "away", 4, 41, 3600, 3627, 27
2020020367, "home", 3, 12, 2400, 2460, 60
2020020367, "home", 3, 34, 2400, 2460, 60
2020020252, "away", 3, 53, 3535, 3600, 65
2020020252, "away", 3, 23, 3575, 3600, 25
2020020252, "away", 3, 15, 3598, 3600, 2
2020020252, "away", 3, 22, 3598, 3600, 2
2020020252, "away", 3, 33, 3598, 3600, 2
2020020252, "away", 3, 67, 3598, 3600, 2
2020020124, "home", 4, 55, 3600, 3676, 76
2020020016, "home", 2, 11, 2161, 2225, 64
2020020016, "home", 2, 23, 2161, 2225, 64
2019021053, "home", 2, 46, 2384, 2400, 16
2019021053, "away", 2, 55, 2393, 2400, 7
2019021053, "away", 3, 22, 2400, 2429, 29
2019021053, "away", 3, 55, 2400, 2429, 29
2019021047, "home", 3, 23, 2913, 2929, 16
2019021047, "away", 2, 13, 2178, 2254, 76
2019021047, "away", 3, 6, 2618, 2740, 122
2019021043, "away", 3, 55, 3527, 3600, 73
2019021043, "away", 3, 33, 3543, 3600, 57
2019021043, "away", 3, 50, 3543, 3600, 57
2019021043, "away", 3, 6, 3586, 3600, 14
2019021043, "away", 3, 20, 3586, 3600, 14
2019021043, "away", 3, 21, 3594, 3600, 6
2019021019, "home", 1, 17, 0, 43, 43
2019021019, "home", 1, 20, 0, 43, 43
2019021019, "home", 3, 77, 2400, 2439, 39
2019021019, "away", 3, 25, 2400, 2439, 39
2019021019, "away", 3, 37, 2400, 2439, 39
2019021019, "away", 3, 40, 2400, 3600, 1200
2019020963, "home", 2, 45, 1200, 2400, 1200
2019020963, "home", 3, 45, 2400, 3052, 652
2019020963, "home", 3, 83, 2400, 2456, 56
2019020963, "home", 3, 39, 2400, 2456, 56
2019020963, "home", 3, 71, 2400, 2456, 56
2019020852, "away", 4, 35, 3600, 3739, 139
2019020852, "away", 4, 4, 3668, 3739, 71
2019020852, "away", 4, 24, 3691, 3739, 48
2019020852, "away", 4, 91, 3737, 3739, 2
2019020808, "home", 4, 74, 3600, 3637, 37
2019020775, "home", 3, 39, 2400, 3600, 1200
2019020775, "home", 3, 11, 2400, 2428, 28
2019020775, "home", 3, 24, 2400, 2428, 28
2019020772, "away", 3, 10, 3489, 3600, 111
2019020772, "away", 3, 27, 3509, 3600, 91
2019020772, "away", 3, 17, 3509, 3600, 91
2019020772, "away", 3, 21, 3599, 3600, 1
2019020772, "away", 3, 72, 3599, 3600, 1
2019020772, "away", 3, 34, 3599, 3600, 1
2019020726, "home", 3, 10, 3575, 3600, 25
2019020726, "home", 4, 27, 3600, 3679, 79
2019020726, "home", 4, 50, 3600, 3813, 213
2019020722, "away", 4, 30, 3600, 3714, 114
2019020722, "away", 4, 23, 3600, 3642, 42
2019020722, "away", 4, 91, 3600, 3624, 24
2019020710, "away", 3, 10, 3291, 3347, 56
2019020710, "home", 3, 18, 3494, 3511, 17
2019020708, "away", 3, 9, 3599, 3600, 1
2019020708, "away", 3, 13, 3599, 3600, 1
2019020708, "away", 3, 23, 3599, 3600, 1
2019020708, "away", 3, 35, 3599, 3600, 1
2019020708, "away", 3, 81, 3599, 3600, 1
2019020708, "away", 3, 98, 3599, 3600, 1
2019020674, "home", 2, 30, 1200, 2400, 1200
2019020665, "away", 2, 1200, 2400, 1200
2019020665, "home", 4, 3600, 3625, 25
2019020665, "home", 4, 3600, 3638, 38
2019020628, "home", 4, 9, 3600, 3669, 69
2019020591, "away", 3, 61, 3530, 3600, 70
2019020591, "away", 3, 67, 3541, 3600, 59
2019020591, "away", 3, 88, 3570, 3600, 30
2019020591, "away", 3, 19, 3594, 3600, 6
